sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,c_charge_desc,is_recid,score_text
Male,33,25 - 45,Caucasian,0,0,0,1,0,F,Grand Theft Dwell Property,0,High
Female,63,Greater than 45,Hispanic,0,0,0,1,-219,F,arrest case no charge,0,Low
Male,30,25 - 45,African-American,0,0,1,3,-1,F,Possession of Cocaine,0,High
Male,31,25 - 45,African-American,0,0,1,15,-1,F,Attempt Armed Burglary Dwell,1,Low
Male,24,Less than 25,African-American,0,0,0,2,-1,F,Poss Tetrahydrocannabinols,1,Low
Male,27,25 - 45,African-American,0,0,0,0,-1,F,Felony Driving While Lic Suspd,0,Low
Male,32,25 - 45,Caucasian,0,0,0,3,-1,F,Tampering With Physical Evidence,0,High
Male,30,25 - 45,Hispanic,0,0,0,0,0,M,Possess Cannabis/20 Grams Or Less,0,High
Male,49,Greater than 45,African-American,0,0,0,4,-1,M,Battery,0,Low
Male,53,Greater than 45,Caucasian,0,0,0,8,-13,F,arrest case no charge,0,Low
Female,31,25 - 45,Hispanic,0,0,0,0,-1,M,Battery,0,Low
Male,35,25 - 45,African-American,0,0,0,5,-1,F,Driving While License Revoked,0,Low
Male,63,Greater than 45,African-American,0,0,0,10,-38,M,Possess Drug Paraphernalia,1,High
Male,33,25 - 45,African-American,0,0,0,2,-1,F,Agg Battery Grt/Bod/Harm,0,Low
Male,27,25 - 45,African-American,1,1,2,15,-1,F,Driving While License Revoked,1,High
Male,38,25 - 45,Caucasian,0,0,0,4,-1,M,Battery,1,Low
Male,46,Greater than 45,Caucasian,3,1,0,9,-1,F,Grand Theft in the 3rd Degree,0,High
Male,22,Less than 25,African-American,0,0,1,1,-1,F,Poss Firearm W/Altered ID#,1,Low
Female,34,25 - 45,Caucasian,0,0,0,0,0,M,Battery,0,Low
Male,22,Less than 25,African-American,0,1,2,2,70,F,Sell Conterfeit Cont Substance,1,High
Male,29,25 - 45,African-American,0,0,0,4,-1,F,arrest case no charge,1,High
Male,62,Greater than 45,Hispanic,0,0,0,0,0,M,Unlaw LicTag/Sticker Attach,0,Low
Male,27,25 - 45,African-American,0,1,0,6,0,F,Aggravated Battery / Pregnant,1,High
Male,33,25 - 45,Other,0,0,0,0,-1,M,Battery,0,Low
Female,56,Greater than 45,African-American,0,0,0,0,0,M,Battery,0,Low
Male,45,Greater than 45,Hispanic,0,0,0,6,-1,F,Possession of Cocaine,1,Low
Male,22,Less than 25,Hispanic,0,0,0,1,-1,F,Burglary Structure Unoccup,0,Low
Female,31,25 - 45,Caucasian,0,0,0,2,-1,F,Felony Driving While Lic Suspd,0,Low
Male,34,25 - 45,African-American,0,0,0,0,0,F,False Imprisonment,0,Low
Male,39,25 - 45,African-American,0,0,0,1,-1,M,arrest case no charge,0,Low
Male,24,Less than 25,African-American,0,1,0,4,-1,M,Battery,0,High
Male,29,25 - 45,African-American,0,0,0,5,0,F,False Name By Person Arrest,1,High
Male,27,25 - 45,Caucasian,0,0,1,1,-1,F,arrest case no charge,1,High
Male,41,25 - 45,African-American,0,0,0,0,,O,,-1,Low
Female,24,Less than 25,Hispanic,0,0,0,1,-325,M,DUI Property Damage/Injury,0,Low
Male,40,25 - 45,African-American,0,0,0,2,-15,F,arrest case no charge,0,Low
Male,51,Greater than 45,African-American,0,0,0,1,-78,F,arrest case no charge,0,Low
Male,22,Less than 25,African-American,0,0,0,1,0,M,Battery,1,Low
Male,22,Less than 25,Caucasian,0,0,0,0,-1,F,Grand Theft in the 3rd Degree,0,High
Female,26,25 - 45,African-American,0,0,0,1,-1,F,Poss Cocaine/Intent To Del/Sel,1,Low
Male,27,25 - 45,Caucasian,0,0,0,1,-43,F,Burglary Dwelling Assault/Batt,1,High
Female,59,Greater than 45,African-American,0,0,0,2,,F,arrest case no charge,0,Low
Male,32,25 - 45,Caucasian,0,0,0,3,-389,M,Driving Under The Influence,0,Low
Male,32,25 - 45,African-American,0,0,0,0,-1,F,Felony Battery (Dom Strang),0,Low
Male,41,25 - 45,African-American,0,0,0,1,-1,M,arrest case no charge,0,Low
Male,50,Greater than 45,Caucasian,0,0,0,0,-1,M,Battery,0,Low
Male,30,25 - 45,African-American,0,0,0,8,-1,M,Possess Cannabis/20 Grams Or Less,1,High
Male,66,Greater than 45,African-American,0,0,0,0,-1,M,arrest case no charge,0,High
Male,52,Greater than 45,African-American,0,0,0,3,-318,F,Driving While License Revoked,0,Low
Male,36,25 - 45,African-American,0,0,0,0,,O,,-1,High
Male,22,Less than 25,Caucasian,0,0,0,3,-5,F,Burglary Conveyance Unoccup,0,High
Male,50,Greater than 45,Other,0,0,0,0,-1,F,arrest case no charge,1,Low
Male,25,25 - 45,African-American,1,6,1,14,-1,F,arrest case no charge,1,High
Female,44,25 - 45,Caucasian,0,0,0,0,,O,,-1,Low
Male,20,Less than 25,Other,0,0,0,0,-1,F,Tampering With Physical Evidence,1,Low
Male,22,Less than 25,African-American,1,0,0,2,0,F,Attempted Burg/struct/unocc,1,High
Male,23,Less than 25,African-American,0,0,1,2,137,M,arrest case no charge,1,High
Male,54,Greater than 45,African-American,0,0,0,6,-1,F,arrest case no charge,0,High
Male,40,25 - 45,Caucasian,0,0,0,4,-1,F,arrest case no charge,0,Low
Male,25,25 - 45,African-American,0,0,0,10,-181,F,arrest case no charge,0,High
Female,35,25 - 45,African-American,0,0,0,1,-1,M,arrest case no charge,0,Low
Male,36,25 - 45,African-American,0,0,0,9,0,F,Deliver Cocaine,1,High
Male,26,25 - 45,Caucasian,0,0,0,7,0,F,Possession Burglary Tools,1,High
Male,21,Less than 25,Other,0,0,0,1,0,F,Grand Theft in the 3rd Degree,1,High
Female,28,25 - 45,African-American,0,0,0,0,,O,,-1,Low
Male,30,25 - 45,Caucasian,0,0,1,6,-239,F,Burglary Conveyance Unoccup,0,Low
Male,25,25 - 45,Caucasian,0,0,0,9,-1,F,Pos Cannabis W/Intent Sel/Del,1,High
Male,71,Greater than 45,African-American,0,0,0,12,,M,Possess Cannabis/20 Grams Or Less,0,High
Male,34,25 - 45,African-American,0,0,0,3,-21,M,Battery,0,Low
Female,20,Less than 25,Caucasian,0,0,0,0,-1,F,"Poss3,4 Methylenedioxymethcath",0,High
Male,39,25 - 45,Caucasian,0,0,0,2,-2,F,Possession Of Alprazolam,1,Low
Male,66,Greater than 45,Caucasian,0,0,0,3,-64,F,Flee/Elude LEO-Agg Flee Unsafe,0,Low
Female,54,Greater than 45,Caucasian,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Low
Male,28,25 - 45,African-American,0,0,0,0,,O,,-1,Low
Female,44,25 - 45,Hispanic,0,0,0,0,-2,M,Battery,0,Low
Male,19,Less than 25,African-American,0,0,0,1,-10,M,Battery,1,Low
Male,24,Less than 25,African-American,0,0,0,1,-137,F,arrest case no charge,0,Low
Male,30,25 - 45,African-American,0,0,0,1,-1,F,Fail To Redeliv Hire/Leas Prop,0,Low
Female,39,25 - 45,Caucasian,0,0,0,0,-1,F,Aggravated Assault W/Dead Weap,1,Low
Female,32,25 - 45,African-American,0,0,0,8,0,M,Battery,0,Low
Male,24,Less than 25,Caucasian,0,1,2,8,-1,F,False Ownership Info/Pawn Item,1,High
Male,30,25 - 45,Caucasian,0,0,0,0,-1,F,Possession Of Methamphetamine,0,Low
Male,31,25 - 45,Caucasian,0,0,0,0,-1,M,Battery,0,Low
Female,39,25 - 45,Caucasian,0,0,0,1,-1,F,Possession of Morphine,0,Low
Male,59,Greater than 45,African-American,0,0,0,14,178,F,arrest case no charge,1,High
Male,35,25 - 45,Caucasian,0,0,0,7,0,F,Felony Driving While Lic Suspd,0,High
Female,24,Less than 25,Other,0,0,0,0,-1,F,Aggrav Battery w/Deadly Weapon,0,Low
Male,43,25 - 45,Caucasian,0,0,0,1,-30,F,Possession of Cocaine,0,Low
Male,21,Less than 25,African-American,1,0,1,2,-1,F,Tampering With Physical Evidence,0,High
Female,21,Less than 25,African-American,0,0,0,0,-1,M,Battery,0,Low
Male,21,Less than 25,African-American,0,0,0,3,-1,F,Grand Theft in the 3rd Degree,1,High
Male,27,25 - 45,African-American,0,0,0,0,-1,F,Driving While License Revoked,0,High
Male,20,Less than 25,African-American,0,0,0,0,0,F,arrest case no charge,0,High
Male,38,25 - 45,Caucasian,0,0,0,5,-1,M,Possess Cannabis/20 Grams Or Less,1,Low
Male,27,25 - 45,African-American,0,0,0,3,-1,F,Robbery / No Weapon,0,High
Male,34,25 - 45,Caucasian,0,0,0,0,0,F,Aggravated Assault w/Firearm,0,Low
Male,30,25 - 45,African-American,0,0,0,3,0,F,Possession of Cocaine,0,Low
Male,33,25 - 45,African-American,0,0,0,5,0,F,Poss Contr Subst W/o Prescript,1,Low
Male,37,25 - 45,African-American,0,0,0,3,0,F,"Poss3,4 Methylenedioxymethcath",0,Low
Male,42,25 - 45,Caucasian,0,0,0,1,0,F,Aggrav Stalking After Injunctn,1,Low
Male,41,25 - 45,African-American,0,1,0,10,0,F,Possession of Cocaine,1,High
Male,22,Less than 25,African-American,0,0,0,0,-1,F,Uttering a Forged Instrument,1,Low
Male,33,25 - 45,African-American,0,12,2,28,-1,F,Driving While License Revoked,1,High
Male,44,25 - 45,Caucasian,0,0,0,0,-3,M,Criminal Mischief Damage <$200,0,Low
Male,31,25 - 45,African-American,0,0,0,1,-1,M,Battery,0,High
Male,26,25 - 45,African-American,0,0,0,9,0,F,Felony Driving While Lic Suspd,0,High
Female,30,25 - 45,Other,0,0,0,1,-1,F,Crim Use of Personal ID Info,0,Low
Male,31,25 - 45,Caucasian,0,0,0,13,-1,F,arrest case no charge,1,High
Male,27,25 - 45,African-American,0,0,0,3,-1,F,Possession of Cocaine,1,High
Female,31,25 - 45,Caucasian,0,0,0,1,-1,F,Grand Theft (Motor Vehicle),0,Low
Male,47,Greater than 45,Hispanic,0,0,0,2,-1,F,Grand Theft in the 3rd Degree,0,Low
Male,56,Greater than 45,African-American,0,0,0,8,67,F,arrest case no charge,0,High
Male,33,25 - 45,Asian,0,0,0,2,14,M,Failure To Pay Taxi Cab Charge,0,High
Male,52,Greater than 45,Caucasian,0,0,0,3,-2,M,Battery,0,High
Male,33,25 - 45,African-American,0,0,0,19,-1,F,arrest case no charge,1,High
Male,61,Greater than 45,Caucasian,0,0,0,0,-1,F,Obstruct Officer W/Violence,0,Low
Female,64,Greater than 45,Caucasian,0,0,0,2,-47,M,Resist/Obstruct W/O Violence,0,Low
Male,22,Less than 25,Caucasian,0,0,0,4,-36,F,Possession Of Alprazolam,1,High
Male,42,25 - 45,Caucasian,0,0,0,6,-4,F,Possession Of Alprazolam,0,Low
Female,25,25 - 45,Caucasian,0,0,0,2,-1,F,arrest case no charge,0,Low
Male,27,25 - 45,Caucasian,0,0,0,0,-1,F,Grand Theft in the 3rd Degree,0,Low
Male,30,25 - 45,Caucasian,0,0,0,1,-20,M,Agg Fleeing and Eluding,0,Low
Male,23,Less than 25,African-American,0,0,0,0,,O,,-1,Low
Male,28,25 - 45,Caucasian,0,0,0,2,,F,arrest case no charge,0,Low
Female,37,25 - 45,Other,0,0,0,2,-1,M,Petit Theft,0,Low
Male,21,Less than 25,Caucasian,0,0,0,1,-1,F,Possession of Cannabis,0,Low
Male,28,25 - 45,Caucasian,0,0,0,0,-1,M,Disorderly Intoxication,1,Low
Female,24,Less than 25,African-American,0,0,0,0,-1,M,Battery,0,Low
Male,37,25 - 45,African-American,0,0,0,13,-29,F,arrest case no charge,0,High
Male,22,Less than 25,African-American,0,0,0,0,-1,F,Burglary Unoccupied Dwelling,0,High
Female,29,25 - 45,Caucasian,0,1,0,10,-1,F,Grand Theft in the 3rd Degree,1,Low
Female,25,25 - 45,Caucasian,0,0,0,0,-1,F,Uttering a Forged Instrument,0,Low
Male,44,25 - 45,Caucasian,0,0,0,2,0,M,Battery,1,Low
Female,30,25 - 45,Hispanic,0,0,0,4,-35,F,Battery on Law Enforc Officer,1,Low
Male,32,25 - 45,African-American,0,0,0,3,-1,F,Possession of Cocaine,1,High
Male,53,Greater than 45,Hispanic,0,0,0,1,-1,F,Resist Officer w/Violence,0,Low
Male,34,25 - 45,Other,0,0,0,1,0,M,Battery,0,Low
Male,31,25 - 45,Caucasian,0,0,0,2,-16,M,Resist/Obstruct W/O Violence,1,Low
Male,27,25 - 45,African-American,0,0,0,5,20,F,Possession of Cocaine,0,High
Male,31,25 - 45,African-American,0,0,0,1,-1,M,Lewdness Violation,1,Low
Male,59,Greater than 45,Caucasian,0,0,0,1,-1,F,Possession of Cocaine,1,Low
Male,28,25 - 45,African-American,0,0,0,15,0,F,Poss of Firearm by Convic Felo,0,High
Female,45,Greater than 45,Caucasian,0,0,0,4,,F,arrest case no charge,0,Low
Male,23,Less than 25,Caucasian,0,0,0,0,-1,M,Driving Under The Influence,0,Low
Female,20,Less than 25,African-American,1,0,0,1,0,F,arrest case no charge,0,High
Male,42,25 - 45,African-American,0,0,0,2,-41,F,arrest case no charge,0,Low
Female,43,25 - 45,Caucasian,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,0,Low
Male,38,25 - 45,African-American,1,1,0,9,-1,F,Possession of Cocaine,1,High
Male,32,25 - 45,African-American,0,0,0,11,-2,F,Poss Pyrrolidinovalerophenone,1,High
Male,33,25 - 45,African-American,0,0,0,8,-1,M,Assault,1,Low
Male,55,Greater than 45,African-American,0,0,0,4,-1,M,arrest case no charge,0,High
Female,31,25 - 45,African-American,0,0,0,0,-1,F,Possession of Oxycodone,1,Low
Female,33,25 - 45,African-American,0,0,0,7,-1,F,Possession of Cocaine,1,High
Male,27,25 - 45,African-American,0,0,0,2,-1,F,Tampering With Physical Evidence,1,High
Male,52,Greater than 45,African-American,0,0,0,0,-1,M,Assault,0,Low
Female,20,Less than 25,African-American,0,0,0,0,0,F,Grand Theft in the 3rd Degree,0,High
Female,26,25 - 45,Caucasian,0,0,0,0,-2,M,Fail To Obey Police Officer,0,High
Male,25,25 - 45,African-American,0,0,0,4,-1,M,Burglary Dwelling Occupied,0,High
Female,61,Greater than 45,African-American,0,0,0,1,-1,F,Solicit Purchase Cocaine,1,Low
Male,52,Greater than 45,Other,0,0,0,13,-1,F,Felony Petit Theft,1,High
Male,63,Greater than 45,Hispanic,0,0,0,1,-26,F,arrest case no charge,0,Low
Male,40,25 - 45,Hispanic,0,0,0,0,,O,,-1,Low
Female,32,25 - 45,African-American,0,0,0,4,-7,F,arrest case no charge,1,High
Male,29,25 - 45,Hispanic,0,0,0,1,-1,F,Grand Theft in the 3rd Degree,0,Low
Female,46,Greater than 45,Other,0,0,0,1,,F,Grand Theft in the 1st Degree,0,Low
Female,26,25 - 45,African-American,0,0,0,2,-1,M,Driving Under The Influence,1,Low
Male,55,Greater than 45,African-American,0,0,0,3,-51,M,Battery,0,Low
Male,39,25 - 45,Caucasian,1,0,0,1,-1,O,,0,Low
Female,30,25 - 45,Caucasian,0,0,0,3,0,F,Possession Of Carisoprodol,1,High
Male,30,25 - 45,African-American,0,0,0,1,0,F,Burglary Conveyance Assault/Bat,0,High
Male,48,Greater than 45,Caucasian,0,0,0,2,-1,M,Battery,0,Low
Male,33,25 - 45,Caucasian,0,0,0,0,-1,M,Felony Battery (Dom Strang),0,Low
Male,22,Less than 25,African-American,0,0,0,1,-1,F,arrest case no charge,0,Low
Male,46,Greater than 45,Caucasian,0,0,0,6,22,F,Driving While License Revoked,1,Low
Male,41,25 - 45,Caucasian,0,0,0,5,-1,F,Felony Petit Theft,0,High
Female,49,Greater than 45,Caucasian,0,0,0,6,-56,F,Crim Use of Personal ID Info,0,High
Male,31,25 - 45,Caucasian,0,0,0,0,0,F,"Deliver 3,4 Methylenediox",0,Low
Male,31,25 - 45,African-American,0,0,0,0,-1,M,Battery,0,Low
Male,25,25 - 45,African-American,0,0,0,1,-1,M,Battery,1,Low
Male,31,25 - 45,African-American,0,0,0,3,-19,F,Burglary Dwelling Armed,0,Low
Female,21,Less than 25,African-American,0,0,0,0,-4,M,Battery,0,High
Male,23,Less than 25,Hispanic,0,0,0,0,-1,F,"Poss3,4 Methylenedioxymethcath",0,Low
Female,32,25 - 45,African-American,0,0,0,5,-1,F,Aggravated Assault W/dead Weap,0,High
Male,52,Greater than 45,Hispanic,0,0,0,2,-1,M,Leave Acc/Attend Veh/More $50,0,Low
Male,62,Greater than 45,African-American,0,0,0,8,0,F,Possession of Cocaine,0,Low
Male,30,25 - 45,African-American,0,0,0,2,-188,M,Battery,0,High
Female,37,25 - 45,Caucasian,0,0,0,6,-110,F,Possession of Cocaine,0,High
Male,55,Greater than 45,Caucasian,0,0,0,1,-45,F,Grand Theft in the 3rd Degree,0,Low
Male,31,25 - 45,Hispanic,0,0,0,8,29,F,arrest case no charge,1,High
Male,28,25 - 45,African-American,0,0,0,6,-1,M,Resist/Obstruct W/O Violence,1,High
Male,54,Greater than 45,Hispanic,0,0,0,2,-1,F,Burglary Unoccupied Dwelling,0,Low
Male,58,Greater than 45,Hispanic,0,0,0,0,-1,F,Possession Of Heroin,0,Low
Male,78,Greater than 45,Caucasian,0,0,0,1,-1,M,Driving Under The Influence,1,Low
Male,56,Greater than 45,Caucasian,0,0,0,0,-1,F,Possession of Cocaine,0,Low
Male,21,Less than 25,Hispanic,0,0,0,1,-155,M,Possess Cannabis/20 Grams Or Less,0,High
Male,24,Less than 25,Other,0,0,0,0,-1,F,Burglary Unoccupied Dwelling,0,Low
Male,38,25 - 45,African-American,2,2,1,22,-34,F,Child Abuse,1,High
Male,39,25 - 45,African-American,0,0,0,3,-1,M,Poss Of Controlled Substance,0,Low
Male,35,25 - 45,Caucasian,0,0,0,0,-1,F,Possession of Cocaine,0,Low
Male,22,Less than 25,African-American,0,0,0,1,0,F,Pos Cannabis W/Intent Sel/Del,1,Low
Male,21,Less than 25,Hispanic,0,0,0,0,,O,,-1,High
Male,47,Greater than 45,African-American,0,0,0,23,-1,M,Possess Cannabis/20 Grams Or Less,1,High
Male,23,Less than 25,African-American,0,0,0,0,-1,M,Battery,1,Low
Male,57,Greater than 45,Hispanic,0,0,0,1,0,F,Driving While License Revoked,0,Low
Female,38,25 - 45,Caucasian,0,0,0,2,-35,F,Possession of Cocaine,1,Low
Male,66,Greater than 45,African-American,0,0,0,3,-10,F,Agg Battery Grt/Bod/Harm,1,Low
Male,45,Greater than 45,Caucasian,0,0,0,8,0,M,Viol Injunct Domestic Violence,1,Low
Female,28,25 - 45,Caucasian,0,0,0,0,-2,M,Petit Theft $100- $300,0,Low
Male,45,Greater than 45,Other,0,0,0,2,-117,F,Unlaw Fail Secur Work Comp Ins,0,Low
Female,52,Greater than 45,Other,0,0,0,0,,O,,1,Low
Male,32,25 - 45,African-American,0,0,0,13,289,F,Poss Cocaine/Intent To Del/Sel,1,High
Male,37,25 - 45,African-American,0,0,0,2,0,M,Battery,1,High
Male,39,25 - 45,Caucasian,0,0,0,0,0,F,Possession Of Methamphetamine,1,Low
Male,26,25 - 45,African-American,0,0,0,9,0,F,Deliver Cocaine,1,High
Male,25,25 - 45,African-American,0,0,0,3,-1,F,arrest case no charge,0,High
Male,45,Greater than 45,Caucasian,0,0,0,2,-1,F,Lewd or Lascivious Molestation,0,Low
Female,57,Greater than 45,Caucasian,0,0,0,7,0,F,Possession of Cocaine,0,High
Male,23,Less than 25,African-American,0,0,0,0,-1,F,Possession of Cannabis,1,Low
Male,34,25 - 45,African-American,0,0,0,2,0,M,Battery,1,Low
Male,38,25 - 45,African-American,0,0,0,14,0,F,Possession of Oxycodone,0,High
Female,36,25 - 45,African-American,0,0,0,0,,O,,-1,Low
Female,23,Less than 25,African-American,0,0,0,1,-1,M,Battery,0,Low
Male,36,25 - 45,Other,0,0,0,2,-1,M,Battery,1,Low
Male,50,Greater than 45,Caucasian,0,0,0,1,-4,F,Sexual Performance by a Child,0,Low
Female,37,25 - 45,Caucasian,0,0,0,0,-1,M,Leaving Acc/Unattended Veh,0,Low
Male,44,25 - 45,Caucasian,0,0,0,4,0,M,Battery,0,Low
Female,35,25 - 45,African-American,0,1,0,23,-1,F,Felony Petit Theft,1,High
Male,31,25 - 45,Caucasian,0,0,0,1,-36,F,arrest case no charge,0,Low
Male,24,Less than 25,Other,0,0,0,5,-1,F,arrest case no charge,1,Low
Male,40,25 - 45,Asian,0,0,0,3,-108,F,Robbery W/Firearm,0,Low
Male,26,25 - 45,African-American,0,0,0,2,-1,F,Fleeing Or Attmp Eluding A Leo,1,High
Male,37,25 - 45,Other,0,0,0,1,-1,F,Felony DUI (level 3),0,High
Male,27,25 - 45,African-American,0,0,0,0,-1,M,Criminal Mischief,0,Low
Female,31,25 - 45,Caucasian,0,0,0,1,-1,M,Battery,0,Low
Female,28,25 - 45,African-American,0,0,0,0,0,F,Aggrav Battery w/Deadly Weapon,0,High
Male,43,25 - 45,Caucasian,0,0,0,11,49,F,arrest case no charge,1,Low
Male,42,25 - 45,African-American,0,0,0,0,,O,,-1,Low
Female,28,25 - 45,Caucasian,0,0,0,7,-1,F,Felony Petit Theft,1,High
